,Id,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea
36,1497,160.0,39,3515,4,21,4,4,7,5,2004,1,840.0,1680,2,3,588.0
37,1498,160.0,30,3215,4,21,4,4,7,5,2004,1,600.0,1200,2,4,480.0
38,1499,160.0,24,2544,4,21,3,4,7,5,2004,1,600.0,1200,2,4,480.0
39,1500,160.0,24,2544,4,21,3,4,6,5,2005,1,600.0,1236,2,4,480.0
40,1501,160.0,60,2980,0,21,4,4,6,5,2000,1,756.0,1512,2,5,440.0
41,1502,160.0,60,2403,2,21,4,4,7,5,2003,1,530.0,1080,2,4,496.0
42,1503,20.0,57,12853,4,21,0,1,8,5,2010,1,1642.0,1418,1,6,852.0
43,1504,60.0,68,7379,4,21,0,4,8,5,2000,1,975.0,1848,3,7,592.0
44,1505,20.0,80,8000,4,21,0,2,7,5,2002,1,1492.0,1492,3,6,596.0
45,1506,20.0,60,10456,4,14,0,2,6,6,1967,3,1829.0,1829,4,8,535.0
46,1507,60.0,80,10791,4,14,0,4,6,5,1993,1,1280.0,2495,4,9,660.0
47,1508,50.0,60,18837,4,14,0,1,6,5,1978,1,1224.0,1891,3,7,678.0
48,1509,60.0,80,9600,4,14,0,4,6,6,1971,1,715.0,1645,4,7,441.0
49,1510,20.0,80,9600,4,12,0,2,5,5,1966,3,1232.0,1232,3,6,490.0
50,1511,20.0,90,9900,0,12,0,2,5,5,1966,3,1209.0,1209,3,6,504.0
51,1511,20.0,88,9680,4,12,0,2,5,6,1967,1,1510.0,1510,3,6,517.0
52,1513,80.0,60,10600,4,12,0,6,6,5,1964,1,533.0,1775,3,8,480.0
53,1514,90.0,98,13260,4,12,2,2,5,6,1962,3,1728.0,1728,6,10,0.0
54,1515,50.0,68,9724,4,12,0,0,5,7,1952,1,1140.0,2461,3,7,400.0
55,1516,50.0,120,17360,0,12,0,0,6,6,1949,1,782.0,1556,3,6,470.0
56,1517,85.0,75,11380,4,12,0,5,6,8,1966,1,1080.0,1128,2,5,315.0
57,1518,90.0,70,8267,0,12,2,2,5,5,1958,1,1604.0,1604,4,8,576.0
58,1519,20.0,70,8197,4,12,0,2,7,5,2003,1,1480.0,1480,3,7,620.0
59,1520,20.0,60,8050,4,12,0,2,5,5,1959,3,1143.0,1143,3,6,308.0
60,1521,20.0,87,10725,4,12,0,2,5,5,1959,3,1206.0,1206,3,6,312.0
61,1522,20.0,80,10032,4,12,0,2,6,5,1959,1,1244.0,1580,3,6,440.0
62,1523,50.0,60,8382,4,12,0,0,4,5,1956,1,832.0,1337,3,5,263.0
63,1524,20.0,60,10950,4,12,0,2,5,7,1952,1,864.0,1064,2,4,318.0
64,1525,20.0,119,10895,0,12,0,2,5,6,1955,1,972.0,972,3,5,305.0
65,1526,190.0,70,13587,4,12,1,2,5,5,1958,1,988.0,988,2,5,264.0
66,1527,30.0,65,7898,0,12,0,2,4,7,1920,1,576.0,985,2,4,676.0
67,1528,50.0,60,8064,4,12,0,0,6,8,1948,1,816.0,1224,3,5,280.0
68,1529,20.0,81,7635,0,12,0,2,5,6,1960,1,1175.0,1175,3,6,484.0
69,1530,20.0,80,9760,4,12,0,2,6,7,1963,3,1395.0,1395,2,7,440.0
70,1531,50.0,60,4800,0,17,0,0,4,5,1900,3,709.0,1844,3,9,240.0
71,1532,30.0,56,4485,4,17,0,2,5,7,1920,1,936.0,936,2,5,0.0
72,1533,20.0,69,5805,4,17,0,2,5,7,1957,3,1347.0,1347,3,6,551.0
73,1534,45.0,50,6900,0,17,0,0,6,7,1938,1,827.0,1251,3,6,240.0
74,1535,50.0,69,11851,4,17,0,0,5,7,1948,1,1027.0,1633,3,7,240.0
75,1536,50.0,60,8239,4,17,0,0,5,6,1920,1,1008.0,1245,3,6,315.0
76,1537,30.0,68,9656,4,17,0,2,2,2,1923,1,678.0,832,2,5,780.0
77,1538,70.0,60,9600,0,17,0,4,8,9,1900,1,930.0,1566,3,7,288.0
78,1539,70.0,50,9000,4,17,0,4,8,9,1890,1,346.0,2268,3,7,624.0
79,1540,190.0,100,9045,4,17,1,4,5,3,1910,1,840.0,2256,4,12,0.0
80,1541,70.0,60,10560,4,17,0,4,6,7,1922,1,738.0,1470,2,6,624.0
81,1542,50.0,53,5830,0,3,0,0,5,6,1950,1,988.0,1612,3,7,363.0
82,1543,75.0,60,7793,0,3,0,3,7,7,1922,1,1108.0,2068,3,8,315.0
83,1544,30.0,50,5000,4,3,0,2,4,7,1925,1,765.0,765,2,4,200.0
84,1545,50.0,50,6000,4,3,0,0,6,7,1939,1,608.0,1132,2,5,240.0
85,1546,50.0,50,6000,4,3,0,0,6,6,1940,1,572.0,1196,3,6,576.0
86,1547,50.0,53,6360,0,3,0,0,5,6,1942,1,835.0,1453,3,7,240.0
87,1548,50.0,50,6000,4,3,0,0,6,7,1948,1,780.0,1416,3,6,312.0
88,1549,50.0,52,6240,4,3,0,0,5,7,1936,1,528.0,1040,2,5,624.0
89,1550,50.0,52,6240,4,3,0,0,5,5,1930,1,928.0,1536,4,7,480.0
90,1551,30.0,51,6120,4,17,0,2,6,5,1923,1,1124.0,1068,2,5,288.0
91,1552,50.0,57,8094,4,17,0,0,4,5,1915,1,888.0,1962,4,9,572.0
92,1553,70.0,60,12900,4,17,0,4,6,8,1912,1,780.0,1560,3,7,0.0
93,1554,70.0,52,3068,4,17,0,4,6,8,1920,1,662.0,1324,3,6,180.0
94,1555,20.0,100,15263,4,4,0,2,5,5,1959,1,1422.0,1675,3,8,365.0
95,1556,50.0,72,10632,4,4,0,0,5,3,1917,1,689.0,1224,3,6,180.0
96,1557,190.0,60,9900,4,18,1,0,5,4,1915,1,1212.0,1392,3,6,0.0
97,1558,50.0,65,6001,4,18,0,0,6,5,1940,1,600.0,919,3,5,231.0
98,1559,70.0,60,6449,4,18,0,4,4,1,1907,2,707.0,1884,4,7,0.0
99,1560,590.0,60,6048,0,18,1,0,5,7,1910,1,856.0,1680,2,7,450.0
100,1561,90.0,72,10773,4,19,2,2,4,3,1967,1,1832.0,1832,4,8,0.0
101,1562,20.0,65,7800,4,19,0,2,5,7,1966,3,864.0,892,3,5,416.0
102,1563,20.0,65,7832,4,19,0,2,5,5,1968,3,864.0,864,2,4,280.0
103,1564,90.0,60,7424,4,19,2,5,5,5,1978,1,1319.0,1373,3,5,591.0
104,1565,60.0,86,11227,4,19,0,4,5,5,1968,1,720.0,1440,4,7,480.0
105,1566,20.0,60,20062,4,4,0,2,7,7,1977,3,1420.0,1483,1,4,690.0
106,1567,30.0,94,9259,0,19,0,2,4,4,1927,1,660.0,756,2,4,440.0
107,1568,60.0,60,17082,1,4,0,4,6,5,1978,1,1117.0,1981,4,8,522.0
108,1569,50.0,124,18600,4,7,0,0,3,4,1938,1,972.0,1610,4,8,480.0
109,1570,20.0,65,11479,4,7,0,2,6,7,1950,1,663.0,1074,3,6,467.0
110,1571,50.0,50,9350,4,7,0,0,4,6,1947,1,756.0,1531,3,8,209.0
111,1572,20.0,75,9525,4,7,0,2,5,7,1954,1,1172.0,1172,3,5,366.0
112,1573,20.0,44,17485,4,7,0,2,7,5,2009,1,1508.0,1508,1,5,572.0
113,1574,20.0,60,11200,1,7,0,2,5,3,1964,1,1250.0,1298,3,5,504.0
114,1575,20.0,83,11980,4,20,0,2,7,5,1987,1,1433.0,1433,1,4,528.0
115,1576,60.0,87,12361,1,20,0,4,6,7,1993,1,946.0,1802,3,8,1017.0
116,1577,20.0,64,7360,4,5,0,2,7,5,2010,1,1222.0,1222,2,6,615.0
117,1578,50.0,82,14235,4,20,0,0,6,8,1900,1,676.0,1445,3,6,484.0
118,1579,85.0,82,11105,0,5,0,5,5,5,1996,1,870.0,965,2,4,580.0
119,1580,60.0,60,9337,4,5,0,4,7,5,1997,1,878.0,1692,3,8,513.0
120,1581,20.0,38,15240,2,5,0,2,5,8,1977,1,1026.0,1026,3,5,308.0
121,1582,20.0,68,7480,4,5,0,2,5,6,1972,1,876.0,876,3,5,484.0
122,1583,20.0,80,10389,4,5,0,2,8,5,2003,3,1978.0,1978,3,8,850.0
123,1584,60.0,75,9375,4,5,0,4,7,5,1997,1,1040.0,2098,4,9,621.0
124,1585,120.0,60,4435,4,5,4,2,6,5,2003,1,848.0,848,1,4,420.0
125,1586,30.0,67,8777,4,7,0,2,3,6,1945,1,0.0,640,2,5,240.0
126,1587,20.0,68,8842,0,7,0,2,5,6,1954,1,381.0,992,3,6,319.0
127,1588,20.0,60,10044,1,7,0,2,5,6,1968,1,1196.0,1196,3,6,336.0
128,1589,50.0,89,11792,4,7,0,0,4,5,1948,1,744.0,1120,2,5,480.0
129,1590,80.0,65,6305,4,7,0,6,6,6,1975,1,1008.0,1096,3,5,352.0
130,1591,20.0,64,6410,4,7,0,2,4,5,1958,3,960.0,960,3,5,0.0
131,1592,30.0,67,4853,4,18,0,2,5,6,1924,1,1107.0,1296,2,5,260.0
132,1593,30.0,60,7890,0,18,0,2,6,6,1939,1,856.0,856,2,4,399.0
133,1594,90.0,60,7200,4,18,2,4,4,6,1967,0,0.0,2650,6,10,0.0
134,1595,50.0,51,9839,4,18,0,0,5,2,1931,1,894.0,1666,3,7,0.0
135,1596,50.0,78,10452,4,6,0,0,7,6,1941,1,1528.0,2133,4,8,312.0
136,1597,90.0,78,15600,4,6,2,4,5,6,1950,1,1032.0,2177,5,11,484.0
137,1598,80.0,85,19645,2,6,0,6,7,6,1994,1,423.0,1652,3,6,473.0
138,1599,120.0,35,3907,4,1,4,2,8,6,1989,1,982.0,1034,1,4,598.0
139,1600,620.0,35,3907,4,1,4,2,8,5,1989,1,1191.0,1191,2,5,531.0
140,1601,30.0,58,8154,4,9,0,2,2,5,1941,1,480.0,540,1,4,200.0
141,1602,50.0,50,9140,4,9,0,0,6,5,1921,1,629.0,1107,2,5,625.0
142,1603,30.0,66,8712,0,9,0,2,4,7,1896,3,756.0,952,3,5,330.0
143,1604,120.0,44,3811,0,6,4,2,8,5,2004,3,1594.0,1646,2,5,525.0
144,1605,60.0,85,11050,4,11,0,4,8,5,1998,1,1049.0,1916,3,8,741.0
145,1606,80.0,74,9620,4,11,0,6,6,7,1977,1,1243.0,1285,3,6,473.0
146,1607,90.0,60,12760,4,11,2,2,6,5,1976,1,1958.0,2048,5,9,776.0
147,1608,20.0,88,11896,0,23,0,2,7,5,2008,1,1336.0,1346,3,6,660.0
148,1609,20.0,73,9803,4,23,0,2,7,5,2009,1,1214.0,1214,2,6,520.0
149,1610,60.0,73,9802,4,23,0,4,5,5,2006,1,384.0,1444,3,7,400.0
150,1611,20.0,85,15300,4,11,0,2,5,5,1965,3,1068.0,1264,2,7,528.0
151,1612,20.0,93,10114,4,11,0,2,5,5,2004,1,1430.0,1430,3,7,624.0
152,1613,20.0,60,11875,4,11,0,2,5,5,1999,1,1344.0,1344,3,7,686.0
153,1614,120.0,31,2394,4,10,3,2,5,6,1973,1,945.0,945,2,5,253.0
154,1615,160.0,21,1476,4,10,3,4,4,7,1970,1,546.0,1092,3,5,0.0
155,1616,160.0,21,1900,4,10,4,4,4,4,1970,1,546.0,1092,3,5,0.0
156,1617,160.0,21,1890,4,10,4,4,4,6,1972,1,546.0,1092,3,5,286.0
157,1618,20.0,50,6953,4,11,0,2,5,7,1971,1,864.0,874,3,5,352.0
158,1619,20.0,76,12887,4,11,0,2,5,7,1984,1,833.0,833,2,5,495.0
159,1620,90.0,70,7700,4,11,2,4,5,2,1985,1,1216.0,2432,4,10,616.0
160,1621,60.0,63,10475,4,11,0,4,5,5,1991,1,624.0,1274,3,6,576.0
161,1622,50.0,68,10544,4,11,0,0,5,5,1969,1,864.0,1479,5,8,275.0
162,1623,20.0,76,9892,4,11,0,2,8,5,1994,3,1679.0,1803,3,6,482.0
163,1624,60.0,74,12961,4,11,0,4,6,5,1993,1,1152.0,1797,3,7,616.0
164,1625,20.0,74,13008,4,12,0,2,6,5,1956,1,882.0,882,2,5,502.0
165,1626,20.0,85,10200,4,12,0,2,6,5,1974,3,1434.0,1434,4,7,528.0
166,1627,60.0,88,10179,0,8,0,4,6,5,1997,1,945.0,1608,3,7,470.0
167,1628,60.0,60,11792,4,8,0,4,8,5,2003,1,1008.0,2283,4,9,632.0
168,1629,80.0,60,8400,4,8,0,6,7,5,1996,1,384.0,1628,3,7,390.0
169,1630,120.0,28,7296,1,22,4,2,8,5,2004,1,2208.0,2522,1,8,564.0
170,1631,120.0,61,7380,0,22,0,2,8,5,1998,1,1418.0,1478,2,5,495.0
171,1632,120.0,57,8013,0,22,4,2,8,5,1995,1,1587.0,1734,2,6,528.0
172,1633,80.0,57,8923,4,8,0,6,7,5,1998,1,384.0,1382,3,7,396.0
173,1634,60.0,60,7500,4,8,0,4,6,5,1998,1,952.0,1636,3,7,440.0
174,1635,60.0,60,8803,4,8,0,4,6,5,1994,1,707.0,1516,3,7,409.0
175,1636,20.0,58,7250,4,8,0,2,6,5,1993,1,1181.0,1190,3,6,430.0
176,1637,60.0,85,11900,4,8,0,4,5,6,1977,1,1122.0,1934,3,6,567.0
177,1638,60.0,60,13250,4,14,0,4,7,6,1978,1,832.0,2050,4,8,529.0
178,1639,20.0,80,10928,4,14,0,2,6,6,1978,1,1427.0,1671,3,7,484.0
179,1640,60.0,60,12388,4,14,0,4,7,7,1980,1,1043.0,2673,4,9,441.0
180,1641,20.0,80,11088,4,14,0,2,6,5,1978,1,1140.0,1707,3,7,479.0
181,1642,60.0,70,7000,4,21,0,4,7,5,2003,1,926.0,1884,3,7,581.0
182,1643,60.0,60,7500,4,21,0,4,8,5,2000,1,1058.0,1874,3,7,588.0
183,1644,60.0,60,8470,0,21,0,4,8,5,2002,1,972.0,1811,3,7,565.0
184,1645,20.0,60,9373,1,14,0,2,5,7,1975,1,1621.0,1621,3,7,478.0
185,1646,20.0,78,10140,4,14,0,2,6,6,1974,3,1116.0,1116,3,6,528.0
186,1647,20.0,85,11050,0,14,0,2,7,5,1975,1,1176.0,1193,3,5,506.0
187,1648,20.0,60,7830,4,12,0,2,5,5,1970,1,1180.0,1180,2,6,477.0
188,1649,20.0,60,8510,4,12,0,2,5,7,1971,1,1043.0,1050,3,6,336.0
189,1650,20.0,60,7038,4,12,0,2,4,6,1970,1,864.0,864,3,5,576.0
190,1651,20.0,60,9000,2,12,0,2,4,7,1971,1,864.0,864,3,5,576.0
191,1652,160.0,21,1680,4,2,3,4,6,5,1973,1,483.0,987,2,5,264.0
192,1653,160.0,21,1680,4,2,3,4,6,6,1972,1,483.0,987,2,5,288.0
193,1654,160.0,24,2308,2,13,4,4,6,5,1976,1,804.0,1548,3,7,440.0
194,1655,120.0,24,2280,2,13,3,2,7,5,1975,1,1057.0,1055,2,4,440.0
195,1656,160.0,24,2349,4,13,3,4,6,5,1977,1,855.0,1456,3,6,440.0
196,1657,160.0,24,2364,4,13,4,4,6,5,1978,1,804.0,1548,3,7,440.0
197,1658,160.0,24,2364,4,13,4,4,6,5,1978,1,855.0,1456,3,6,440.0
198,1659,120.0,24,2104,4,13,4,2,7,6,1976,1,836.0,836,2,5,345.0
199,1660,20.0,60,10710,4,12,0,2,5,7,1966,3,864.0,1120,3,5,656.0
200,1661,60.0,110,14257,4,16,0,4,9,5,2007,3,1776.0,2772,4,10,754.0
201,1662,60.0,95,12350,4,16,0,4,9,5,2009,1,1365.0,2690,3,8,864.0
202,1663,20.0,95,12350,4,16,0,2,9,5,2008,3,2020.0,2020,3,7,896.0
203,1664,20.0,105,13693,4,16,0,2,10,5,2007,3,2630.0,2674,2,8,762.0
204,1665,20.0,95,11578,4,16,0,2,9,5,2008,1,1736.0,1736,3,7,834.0
205,1666,20.0,129,16870,3,16,0,2,8,5,2004,3,1782.0,1782,3,7,932.0
206,1667,60.0,59,23303,1,16,0,4,8,5,2007,1,1508.0,2520,5,10,640.0
207,1668,20.0,87,10367,4,16,0,2,9,5,2008,3,1739.0,1743,3,8,927.0
208,1669,20.0,77,10872,4,16,0,2,9,5,2006,1,1504.0,1531,2,6,700.0
209,1670,20.0,102,13514,0,16,0,2,9,5,2008,3,1774.0,1808,3,7,850.0
210,1671,20.0,90,12878,0,16,0,2,7,5,2003,3,1760.0,1760,3,8,583.0
211,1672,20.0,110,15274,0,16,0,2,9,5,2003,3,2452.0,2452,3,10,886.0
212,1673,60.0,96,13262,4,16,0,4,8,5,2003,1,1082.0,2400,4,10,730.0
213,1674,20.0,70,9658,4,16,0,2,8,5,2006,1,1598.0,1606,3,6,871.0
214,1675,120.0,47,6904,4,16,4,2,6,5,2005,1,1358.0,1358,2,6,484.0
215,1676,120.0,34,5122,4,16,3,2,6,5,2005,1,1306.0,1306,1,5,624.0
216,1677,120.0,80,10307,4,16,4,2,7,5,2007,1,1350.0,1358,2,6,484.0
217,1678,20.0,100,14836,4,16,0,2,10,5,2004,3,2492.0,2492,2,8,949.0
218,1679,20.0,117,15262,0,16,0,2,8,5,2003,3,2200.0,2200,3,8,685.0
219,1680,120.0,44,7390,4,16,4,2,9,5,2008,3,1884.0,1884,2,6,649.0
220,1681,120.0,48,6472,4,16,4,2,9,5,2008,3,1451.0,1456,2,6,539.0
221,1682,20.0,129,16770,0,16,0,2,8,5,2002,3,1712.0,1712,3,8,701.0
222,1683,120.0,48,3480,4,16,4,2,7,5,2003,1,1405.0,1405,2,6,478.0
223,1684,60.0,63,10928,4,8,0,4,7,5,2005,1,728.0,1456,3,8,390.0
224,1685,60.0,57,8918,4,8,0,4,6,5,2005,1,745.0,1490,3,7,392.0
225,1686,120.0,43,3182,4,0,4,2,7,5,2005,1,1220.0,1220,2,5,397.0
226,1687,80.0,59,9434,4,8,0,6,7,5,2004,1,384.0,1374,3,6,400.0
227,1688,60.0,62,7984,4,8,0,4,7,5,2004,1,868.0,1630,3,7,436.0
228,1689,60.0,61,10125,4,8,0,4,7,5,2004,1,846.0,1594,3,7,434.0
229,1690,60.0,60,8965,4,8,0,4,7,5,2003,1,782.0,1489,3,8,400.0
230,1691,60.0,60,8174,4,8,0,4,7,5,2003,1,698.0,1342,3,7,393.0
231,1692,60.0,60,12891,0,8,0,4,8,5,2002,1,870.0,2004,4,8,644.0
232,1693,80.0,61,9734,4,8,0,6,7,5,2004,1,384.0,1374,3,7,400.0
233,1694,60.0,42,8433,4,8,0,4,6,5,2000,1,794.0,1514,3,7,394.0
234,1695,80.0,62,7750,4,8,0,6,7,5,1999,1,384.0,1430,3,7,400.0
235,1696,60.0,60,15896,1,8,0,4,7,5,1999,1,1177.0,2312,4,8,658.0
236,1697,80.0,64,7848,4,8,0,6,7,6,1999,1,384.0,1430,3,7,410.0
237,1698,60.0,106,12720,4,15,0,4,8,5,2000,1,1455.0,2687,4,10,810.0
238,1699,20.0,60,10750,1,15,0,2,8,5,1994,3,2024.0,2063,3,7,815.0
239,1700,60.0,79,9085,4,15,0,4,7,5,1995,1,1070.0,2061,3,7,647.0
240,1701,60.0,60,11692,4,15,0,4,8,5,1993,1,1173.0,2232,3,8,623.0
241,1702,20.0,86,11194,4,21,0,2,8,5,2008,1,1696.0,1696,3,7,972.0
242,1703,20.0,78,10206,4,21,0,2,8,5,2008,1,1614.0,1658,3,7,726.0
243,1704,20.0,85,10130,4,21,0,2,8,5,2007,1,1702.0,1702,3,7,844.0
244,1705,20.0,76,9139,4,21,0,2,8,5,2006,3,1422.0,1432,3,7,492.0
245,1706,20.0,85,11128,0,21,0,2,9,5,2005,3,2458.0,2490,2,9,795.0
246,1707,20.0,90,7993,4,21,0,2,7,5,2008,1,1436.0,1436,3,6,529.0
247,1708,20.0,72,8640,4,21,0,2,7,5,2008,3,1402.0,1402,3,7,625.0
248,1709,20.0,112,12606,4,21,0,2,9,5,2007,1,1530.0,1530,3,7,984.0
249,1710,20.0,75,7500,4,21,0,2,8,5,2006,1,1372.0,1448,2,6,692.0
250,1711,60.0,84,10603,4,21,0,4,8,5,2006,3,900.0,1795,3,8,782.0
251,1712,20.0,65,8125,0,21,0,2,8,5,2008,3,1836.0,1836,3,8,517.0
252,1713,20.0,85,10625,4,21,0,2,7,5,2006,1,1652.0,1662,3,8,711.0
253,1714,20.0,68,8736,4,21,0,2,7,5,2003,1,1553.0,1553,3,6,588.0
254,1715,60.0,65,8127,4,21,0,4,7,5,2003,1,812.0,1653,3,6,628.0
255,1716,20.0,80,9605,0,20,0,2,7,6,2007,1,1218.0,1218,3,6,576.0
256,1717,20.0,63,7500,4,20,0,2,7,5,2006,1,1141.0,1141,3,6,484.0
257,1718,20.0,63,7500,4,20,0,2,6,5,2004,1,1158.0,1158,3,5,0.0
258,1719,60.0,96,10628,0,20,0,4,7,5,2004,1,835.0,1812,3,8,478.0
259,1720,20.0,76,10141,4,20,0,2,8,5,2004,1,1512.0,1512,3,6,845.0
260,1721,20.0,63,13072,4,20,0,2,7,5,2004,1,1114.0,1114,3,6,576.0
261,1722,20.0,63,13072,4,20,0,2,5,5,2004,1,1114.0,1114,3,6,0.0
262,1723,20.0,60,12450,4,20,0,2,5,5,2003,1,1114.0,1114,3,6,576.0
263,1724,20.0,61,7328,4,20,0,2,7,5,2008,1,1450.0,1450,2,6,788.0
264,1725,60.0,43,11492,1,20,0,4,7,5,1996,1,913.0,2122,4,8,559.0
265,1726,60.0,70,7703,4,20,0,4,6,6,1992,1,816.0,1730,3,6,528.0
266,1727,120.0,50,7175,4,20,4,2,6,5,1990,1,1332.0,1332,2,5,542.0
267,1728,60.0,70,9109,4,20,0,4,7,5,1994,1,754.0,1540,3,6,495.0
268,1729,60.0,60,10274,1,20,0,4,6,7,1986,1,676.0,1400,3,6,465.0
269,1730,90.0,75,8250,4,20,2,4,6,7,1981,1,0.0,1882,4,8,612.0
270,1731,20.0,63,9750,4,19,0,2,5,5,1962,3,980.0,980,3,5,400.0
271,1732,20.0,60,8499,0,19,0,2,5,6,1961,1,864.0,864,3,5,732.0
272,1733,20.0,60,9079,4,19,0,2,5,5,1961,1,864.0,864,2,5,440.0
273,1734,20.0,60,9316,4,19,0,2,5,5,1965,1,1024.0,1020,3,5,288.0
274,1735,20.0,60,7791,4,19,0,2,5,8,1963,1,912.0,912,3,6,300.0
275,1736,20.0,65,7150,4,19,0,2,5,6,1962,1,912.0,912,3,6,252.0
276,1737,20.0,60,15676,4,24,0,2,8,8,1980,1,2014.0,2014,2,6,864.0
277,1738,60.0,60,11949,4,15,0,4,7,8,1991,1,975.0,1755,3,7,524.0
278,1739,160.0,32,2880,4,21,3,4,7,5,2004,1,1376.0,3005,3,9,704.0
279,1740,120.0,60,3830,4,21,4,2,6,5,2008,1,1726.0,1726,2,6,561.0
280,1741,120.0,60,4217,4,21,4,2,6,5,2008,1,1145.0,1256,1,5,641.0
281,1742,160.0,34,2998,4,21,4,4,6,5,2000,1,756.0,1512,2,4,440.0
282,1743,160.0,35,3768,2,21,4,4,7,5,1999,3,691.0,1452,3,6,506.0
283,1744,20.0,60,14694,4,24,0,2,8,9,1977,1,1694.0,1694,2,5,642.0
284,1745,20.0,110,15417,4,24,0,2,7,5,1981,1,1740.0,1740,2,7,540.0
285,1746,80.0,80,9600,2,24,0,6,8,5,1976,1,392.0,2499,4,5,527.0
286,1747,60.0,60,12732,1,14,0,4,7,6,1974,1,752.0,2067,3,7,784.0
287,1748,60.0,80,10400,4,14,0,4,6,7,1967,1,932.0,2640,5,8,515.0
288,1749,20.0,80,9600,4,14,0,2,5,5,1969,1,1288.0,1336,3,6,502.0
289,1750,20.0,75,9000,4,14,0,2,6,5,1969,1,1216.0,1216,3,5,336.0
290,1751,60.0,60,13774,4,14,0,4,7,7,1977,3,908.0,2288,4,8,520.0
291,1752,20.0,62,7130,4,12,0,2,5,6,1967,1,864.0,864,2,5,312.0
292,1753,20.0,80,9600,4,12,0,2,5,5,1967,3,1568.0,1568,3,7,440.0
293,1754,60.0,80,9600,4,14,0,4,7,5,1974,1,1165.0,2061,4,8,498.0
294,1755,85.0,60,16500,4,14,0,5,6,5,1971,3,1232.0,1320,3,5,495.0
295,1756,20.0,60,7436,4,12,0,2,4,7,1960,1,894.0,894,2,5,396.0
